season,team,conference,statName,statValue
2022,Mississippi State,SEC,fourthDownConversions,15
2022,Mississippi State,SEC,fourthDownConversionsOpponent,12
2022,Mississippi State,SEC,fourthDowns,29
2022,Mississippi State,SEC,fourthDownsOpponent,26
2022,Mississippi State,SEC,fumblesLost,10
2022,Mississippi State,SEC,fumblesLostOpponent,7
2022,Mississippi State,SEC,fumblesRecovered,11
2022,Mississippi State,SEC,fumblesRecoveredOpponent,16
2022,Mississippi State,SEC,games,13
2022,Mississippi State,SEC,interceptions,9
2022,Mississippi State,SEC,interceptionsOpponent,14
2022,Mississippi State,SEC,interceptionTDs,3
2022,Mississippi State,SEC,interceptionTDsOpponent,0
2022,Mississippi State,SEC,interceptionYards,294
2022,Mississippi State,SEC,interceptionYardsOpponent,73
2022,Mississippi State,SEC,kickReturns,31
2022,Mississippi State,SEC,kickReturnsOpponent,34
2022,Mississippi State,SEC,kickReturnTDs,1
2022,Mississippi State,SEC,kickReturnTDsOpponent,0
2022,Mississippi State,SEC,kickReturnYards,807
2022,Mississippi State,SEC,kickReturnYardsOpponent,596
2022,Mississippi State,SEC,netPassingYards,4035
2022,Mississippi State,SEC,netPassingYardsOpponent,2703
2022,Mississippi State,SEC,passAttempts,634
2022,Mississippi State,SEC,passAttemptsOpponent,422
2022,Mississippi State,SEC,passCompletions,427
2022,Mississippi State,SEC,passCompletionsOpponent,252
2022,Mississippi State,SEC,passesIntercepted,14
2022,Mississippi State,SEC,passesInterceptedOpponent,9
2022,Mississippi State,SEC,passingTDs,36
2022,Mississippi State,SEC,passingTDsOpponent,15
2022,Mississippi State,SEC,penalties,82
2022,Mississippi State,SEC,penaltiesOpponent,84
2022,Mississippi State,SEC,penaltyYards,790
2022,Mississippi State,SEC,penaltyYardsOpponent,643
2022,Mississippi State,SEC,possessionTime,23380
2022,Mississippi State,SEC,possessionTimeOpponent,23263
2022,Mississippi State,SEC,puntReturns,21
2022,Mississippi State,SEC,puntReturnsOpponent,16
2022,Mississippi State,SEC,puntReturnTDs,1
2022,Mississippi State,SEC,puntReturnTDsOpponent,1
2022,Mississippi State,SEC,puntReturnYards,213
2022,Mississippi State,SEC,puntReturnYardsOpponent,137
2022,Mississippi State,SEC,rushingAttempts,296
2022,Mississippi State,SEC,rushingAttemptsOpponent,447
2022,Mississippi State,SEC,rushingTDs,12
2022,Mississippi State,SEC,rushingTDsOpponent,20
2022,Mississippi State,SEC,rushingYards,1071
2022,Mississippi State,SEC,rushingYardsOpponent,1757
2022,Mississippi State,SEC,sacks,31
2022,Mississippi State,SEC,sacksOpponent,26
